主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
活化休耕田-找回農地的價值與尊嚴,中國時報c1/10全廣告,101,12月,67822.0,農糧署,農委會,
小地主大佃農/簽約有保障快來參加,"報紙
（自由時報）",101,12月,60000.0,農糧署,農委會,
吉園圃安全蔬果標章宣導廣告,電視廣告,101,9月至11月,2138000.0,農糧署,農委會,
吉園圃安全蔬果標章宣導廣告,報紙(蘋果日報、中國時報、聯合報、自由時報及爽報),101,9月至11月,428000.0,農糧署,農委會,
吉園圃安全蔬果標章宣導廣告,廣播,101,9月至11月,560000.0,農糧署,農委會,
吉園圃安全蔬果標章宣導廣告,網路,101,9月至11月,169000.0,農糧署,農委會,
吉園圃安全蔬果標章宣導廣告,雜誌,101,9月至11月,174000.0,農糧署,農委會,
農信保專為農漁民及農企業作保,"雜誌
(新漁業雜誌、豐年雜誌、中國畜牧雜誌、農友雜誌)",101,3月-11月,94500.0,財團法人農業信用保證基金,農委會,
農信保是農漁民的好朋友,"廣播媒體30秒廣告
(中廣、每日、建國、神農、民立等電台)",101,5月-10月,447000.0,財團法人農業信用保證基金,農委會,
傳統菇舍轉型升級-農信保保證戶蕈優生物科技農場的「菇蕈世界」,"平面媒體
(農訓雜誌)",101,6月1日出刊,30000.0,財團法人農業信用保證基金,農委會,
傳統豬舍轉型升級-農信保保證戶黃正祥的「黑珍豬」,"平面媒體
(農訓雜誌)",101,7月1日出刊,30000.0,財團法人農業信用保證基金,農委會,
"傳統農村婦女的蛻變- 
女神農彭麗貞帶動薑麻園休閒農業區發展","平面媒體
(農訓雜誌)",101,8月1日出刊,30000.0,財團法人農業信用保證基金,農委會,
特生中心【生物小百科】生態資訊宣導,廣播（古典音樂台30秒廣告）,101,5月-6月,98000.0,特生中心,農委會,
